SimulationID,Re,n,C_D,C_Df,C_Dp,shear_rate_max,pressure_diff
1,0.1,1,245.705249889087,160.489119881242,85.2161300078454,10.5647201538086,63.9141464233398
2,0.143844988828766,1,171.527620356589,112.035423687987,59.4921992150814,10.6135034561157,44.6407318115234
3,0.206913808111479,1,120.095462907606,78.4384390886649,41.657023818941,10.6987419128418,31.277681350708
4,0.297635144163132,1,84.4214884755808,55.1339537295138,29.2875321995879,10.8267250061035,22.0095825195312
5,0.428133239871939,1,59.6416495263633,38.9446212449589,20.6970282814043,11.0138025283813,15.5728149414063
6,0.615848211066026,1,42.3916142813177,27.672672299084,14.7189419822338,11.2753076553345,11.0935287475586
7,0.885866790410083,1,30.3508807518526,19.802182796969,10.5486979548836,11.6303358078003,7.9691915512085
8,1.27427498570313,1,21.917542976592,14.2866644244007,7.63087855219127,12.1020107269287,5.78408336639404
9,1.83298071083244,1,15.9845446361796,10.4029604101141,5.58158677254458,12.7170906066895,4.25113916397095
10,2.63665089873036,1,11.7866611247923,7.6513293257588,4.13533179903353,13.5053014755249,3.1721019744873
11,3.79269019073225,1,8.79522301162341,5.68669015048337,3.10853286114004,14.874267578125,2.41004991531372
12,5.45559478116852,1,6.64530201779812,4.2710336697114,2.37426834808672,16.5996990203857,1.89790844917297
13,7.84759970351461,1,5.08508955855419,3.24030551458286,1.84478404397133,18.7477073669434,1.56577837467194
14,11.2883789168469,1,3.93960686973775,2.48060422190482,1.45900264783293,21.3905353546143,1.33452486991882
15,16.2377673918872,1,3.0918788878949,1.91608291199741,1.17579597589749,24.6498279571533,1.17490649223328
16,23.3572146909012,1,2.45498154930657,1.49013080822262,0.964853287563038,28.6083011627197,1.06080913543701
17,33.5981828628378,1,1.97160888854331,1.16556931587418,0.806039572669132,33.3962440490723,0.982767820358276
18,48.3293023857175,1,1.60054868802114,0.915584010139966,0.684964677881175,35.6187133789062,0.928630828857422
19,69.5192796177561,1,1.31235855650761,0.720966799248107,0.591391757259499,42.0318641662598,0.887964963912964
20,100,1,1.08547745555216,0.567694222852888,0.51778323269927,49.2795181274414,0.853308796882629
21,0.1,0.9,273.736593767923,174.125469568732,99.6111241991913,13.0094451904297,72.510009765625
22,0.143844988828766,0.9,190.531634747755,121.196028251763,69.3356064959916,13.0313930511475,50.4894561767578
23,0.206913808111479,0.9,132.76942684577,84.4506762189043,48.3187506268662,13.0716123580933,35.2036590576172
24,0.297635144163132,0.9,92.7032725478316,58.9613856488812,33.7418894454294,13.1431188583374,24.6024703979492
25,0.428133239871939,0.9,64.9321406347532,41.2924775119297,23.6396605763445,13.2637872695923,17.2575416564941
26,0.615848211066026,0.9,45.6859484427419,29.0448374634869,16.6411084327759,13.4554347991943,12.1691436767578
27,0.885866790410083,0.9,32.3386343178232,20.5480949053776,11.7905394124456,13.7436943054199,8.64375305175781
28,1.27427498570313,0.9,23.0673775981723,14.6425501560288,8.42482744214359,14.1590528488159,6.1992039680481
29,1.83298071083244,0.9,16.6093843962793,10.5249291190625,6.08445527721682,14.7368211746216,4.50156307220459
30,2.63665089873036,0.9,12.0910876069803,7.63978613604623,4.4513014709341,15.5158433914185,3.31996321678162
31,3.79269019073225,0.9,8.90979674529595,5.60418422798453,3.30561251731141,16.7157192230225,2.49518990516663
32,5.45559478116852,0.9,6.65122258168114,4.15515868522415,2.49606389645699,18.6067237854004,1.94080770015717
33,7.84759970351461,0.9,5.0317866582534,3.11288734038303,1.91889931787036,21.0016536712646,1.58748173713684
34,11.2883789168469,0.9,3.85749565149778,2.35446692668699,1.5030261783317,23.9981803894043,1.34447681903839
35,16.2377673918872,0.9,2.9956041529593,1.79586108770443,1.19974561173396,27.7111873626709,1.17785358428955
36,23.3572146909012,0.9,2.35534546197286,1.37949902418058,0.975848984271371,29.5785942077637,1.0607705116272
37,33.5981828628378,0.9,1.87364074501321,1.06542902568076,0.80821171933245,37.8151016235352,0.981940925121307
38,48.3293023857175,0.9,1.50677714203049,0.82566274053259,0.681114401497896,44.4586791992188,0.928322076797485
39,69.5192796177561,0.9,1.22380219969219,0.640261237465524,0.583538415747572,52.2276191711426,0.887450098991394
40,100,0.9,1.00282383726613,0.495547377290015,0.507276459976115,61.0089340209961,0.851992130279541
41,0.1,0.8,299.113849443926,183.808051416267,115.305800574137,16.3137245178223,81.1831817626953
42,0.143844988828766,0.8,208.007845719048,127.820823473454,80.1870222455942,16.3246059417725,56.4728546142578
43,0.206913808111479,0.8,144.699268850326,88.91520155575,55.7840672945764,16.3438968658447,39.3032073974609
44,0.297635144163132,0.8,100.725244451542,61.89040192013,38.8348425314119,16.3787536621094,27.3790168762207
45,0.428133239871939,0.8,70.2036095443448,43.131483594847,27.0721259494978,16.4420700073242,19.1052360534668
46,0.615848211066026,0.8,49.042982012307,30.1238010255282,18.9191784402997,16.5553646087646,13.3722438812256
47,0.885866790410083,0.8,34.3923340527737,21.1150557422527,13.277278310521,16.7508125305176,9.40792655944824
48,1.27427498570313,0.8,24.2596263754669,14.8806357649779,9.37899315696812,17.0709190368652,6.67194175720215
49,1.83298071083244,0.8,17.2516649916628,10.5642085590176,6.68745643264521,17.5664138793945,4.7865571975708
50,2.63665089873036,0.8,12.3957152610164,7.56821988771576,4.82749537330064,18.2929992675781,3.48780274391174
51,3.79269019073225,0.8,9.01583977401876,5.4780749440367,3.53776737646115,19.3074626922607,2.59327983856201
52,5.45559478116852,0.8,6.64552610795799,4.00774810369289,2.6377780042651,21.1800632476807,1.99535489082336
53,7.84759970351461,0.8,4.9672868893962,2.96314673048491,2.00414015891129,23.8610820770264,1.61500239372253
54,11.2883789168469,0.8,3.76465866333296,2.21213911741832,1.55252209239373,27.2669944763184,1.35790824890137
55,16.2377673918872,0.8,2.89135893847365,1.665152862521,1.22620607595265,31.5341739654541,1.18309843540192
56,23.3572146909012,0.8,2.24945012903724,1.26200447899242,0.987443103565729,36.8094367980957,1.06245017051697
57,33.5981828628378,0.8,1.77084193065038,0.961069219636085,0.809772711014295,43.2450637817383,0.982136249542236
58,48.3293023857175,0.8,1.40894650837122,0.73321281718937,0.675733691181846,50.8812942504883,0.928733229637146
59,69.5192796177561,0.8,1.13173424821239,0.558086357248317,0.57364789096407,59.6066932678223,0.887074649333954
60,100,0.8,0.916946376452833,0.422033072456096,0.494913303996737,69.0244216918945,0.851294159889221
61,0.1,0.7,320.0438703761,187.898789273486,132.145081102614,20.8469696044922,89.7607116699219
62,0.143844988828766,0.7,222.513408032459,130.636931408354,91.8764766241042,20.8545360565186,62.4223861694336
63,0.206913808111479,0.7,154.720203920959,90.8337876566924,63.8864162642668,20.8669185638428,43.420711517334
64,0.297635144163132,0.7,107.604094252552,63.1699287217371,44.4341655308146,20.8877944946289,30.216329574585
65,0.428133239871939,0.7,74.8680080249231,43.9480630444674,30.9199424339765,20.9240341186523,21.0444068908691
66,0.615848211066026,0.7,52.136029734104,30.5987677588171,21.5372619752869,20.9884929656982,14.6788644790649
67,0.885866790410083,0.7,36.3675334768332,21.3364873779567,15.0310486453556,21.1047477722168,10.2682294845581
68,1.27427498570313,0.7,25.448503614447,14.919517954195,10.528985660252,21.3136234283447,7.2205114364624
69,1.83298071083244,0.7,17.9052239429335,10.482138084443,7.42308585849049,21.6785945892334,5.12350273132324
70,2.63665089873036,0.7,12.7042695858084,7.41732317631102,5.28694640949741,22.2837791442871,3.68760824203491
71,3.79269019073225,0.7,9.11687642485168,5.29751175123962,3.81936467361205,23.2215671539307,2.70736074447632
72,5.45559478116852,0.7,6.62977104183144,3.82270310769835,2.80706793413309,24.5713901519775,2.0658221244812
73,7.84759970351461,0.7,4.89241531120759,2.78806356068838,2.10435175051922,27.5472412109375,1.65437090396881
