SimulationID,Re,n,CD,shear_rate_max,pressure_diff
1,0.1,1,245.705249889087,10.5647201538086,63.9141464233398
2,0.143844988828766,1,171.527620356589,10.6135034561157,44.6407318115234
3,0.206913808111479,1,120.095462907606,10.6987419128418,31.277681350708
4,0.297635144163132,1,84.4214884755808,10.8267250061035,22.0095825195312
5,0.428133239871939,1,59.6416495263633,11.0138025283813,15.5728149414063
6,0.615848211066026,1,42.3916142813177,11.2753076553345,11.0935287475586
7,0.885866790410083,1,30.3508807518526,11.6303358078003,7.9691915512085
8,1.27427498570313,1,21.917542976592,12.1020107269287,5.78408336639404
9,1.83298071083244,1,15.9845446361796,12.7170906066895,4.25113916397095
10,2.63665089873036,1,11.7866611247923,13.5053014755249,3.1721019744873
11,3.79269019073225,1,8.79522301162341,14.874267578125,2.41004991531372
12,5.45559478116852,1,6.64530201779812,16.5996990203857,1.89790844917297
13,7.84759970351461,1,5.08508955855419,18.7477073669434,1.56577837467194
14,11.2883789168469,1,3.93960686973775,21.3905353546143,1.33452486991882
15,16.2377673918872,1,3.0918788878949,24.6498279571533,1.17490649223328
16,23.3572146909012,1,2.45498154930657,28.6083011627197,1.06080913543701
17,33.5981828628378,1,1.97160888854331,33.3962440490723,0.982767820358276
18,48.3293023857175,1,1.60054868802114,35.6187133789062,0.928630828857422
19,69.5192796177561,1,1.31235855650761,42.0318641662598,0.887964963912964
20,100,1,1.08547745555216,49.2795181274414,0.853308796882629
21,0.1,0.9,245.579960571406,10.8375148773193,64.2812271118164
22,0.143844988828766,0.9,171.420288809447,10.8885946273804,44.8925857543945
23,0.206913808111479,0.9,119.998039710601,10.9779472351074,31.4492816925049
24,0.297635144163132,0.9,84.330018946687,11.1125354766846,22.1254920959473
25,0.428133239871939,0.9,59.5545752203779,11.309718132019,15.6502208709717
26,0.615848211066026,0.9,42.3084080770693,11.5859994888306,11.1443881988525
27,0.885866790410083,0.9,30.2713822211584,11.9620704650879,8.00181198120117
28,1.27427498570313,0.9,21.8417673983266,12.4633111953735,5.80425882339478
29,1.83298071083244,0.9,15.9125021962594,13.1194381713867,4.26291561126709
30,2.63665089873036,0.9,11.7183110795519,13.9640560150146,3.17831611633301
31,3.79269019073225,0.9,8.73043039767093,15.4260311126709,2.41268491744995
32,5.45559478116852,0.9,6.58381728018286,17.2922191619873,1.90059900283813
33,7.84759970351461,0.9,5.0265612831618,19.6306457519531,1.56799149513245
34,11.2883789168469,0.9,3.88475061719238,22.5356731414795,1.33707356452942
35,16.2377673918872,0.9,3.03805395938077,26.1173572540283,1.17681205272675
36,23.3572146909012,0.9,2.40290859840599,30.5009536743164,1.06223440170288
37,33.5981828628378,0.9,1.92095432649557,35.8217468261719,0.984135568141937
38,48.3293023857175,0.9,1.55105022748002,42.2690849304199,0.93022084236145
39,69.5192796177561,0.9,1.26382521154139,49.7013931274414,0.889448404312134
40,100,0.9,1.03787866841178,52.9562492370606,0.854277968406677
41,0.1,0.8,245.322918972115,11.1371927261353,64.6561279296875
42,0.143844988828766,0.8,171.220405479798,11.1909141540527,45.1498794555664
43,0.206913808111479,0.8,119.835031944647,11.2849884033203,31.6246604919434
44,0.297635144163132,0.8,84.1914624729498,11.4271554946899,22.2440071105957
45,0.428133239871939,0.8,59.4331769227456,11.6359548568726,15.7294178009033
46,0.615848211066026,0.8,42.1997574537589,11.9292726516724,11.1964893341064
47,0.885866790410083,0.8,30.172606843757,12.3296775817871,8.03528785705566
48,1.27427498570313,0.8,21.7510439878061,12.8652639389038,5.82501935958862
49,1.83298071083244,0.8,15.8285320482841,13.5692920684814,4.2750940322876
50,2.63665089873036,0.8,11.6401749151706,14.4801177978516,3.18480777740479
51,3.79269019073225,0.8,8.65738464498947,16.0498790740967,2.41552686691284
52,5.45559478116852,0.8,6.51521513351253,18.081823348999,1.90375375747681
53,7.84759970351461,0.8,4.96179413400021,20.6458930969238,1.57072472572327
54,11.2883789168469,0.8,3.82320731055806,23.8519439697266,1.33946442604065
55,16.2377673918872,0.8,2.97916153747859,27.8268547058105,1.17921078205109
56,23.3572146909012,0.8,2.34614248654352,32.7113952636719,1.06396520137787
57,33.5981828628378,0.8,1.86586379787397,38.648265838623,0.985639333724976
58,48.3293023857175,0.8,1.49725585671496,45.8115234375,0.931877791881561
59,69.5192796177561,0.8,1.21113346622207,48.7203483581543,0.890842020511627
60,100,0.8,0.986753007732483,56.9325828552246,0.855164110660553
61,0.1,0.7,244.910284953978,11.4683494567871,65.0400772094727
62,0.143844988828766,0.7,170.911117769029,11.5251169204712,45.4134941101074
63,0.206913808111479,0.7,119.594420228441,11.6246538162231,31.8044090270996
64,0.297635144163132,0.7,83.9972807099823,11.7756204605103,22.3655986785889
65,0.428133239871939,0.7,59.271185201948,11.9978771209717,15.8107461929321
66,0.615848211066026,0.7,42.0609310532382,12.3110074996948,11.2500591278076
67,0.885866790410083,0.7,30.0509589911739,12.7398443222046,8.06978034973145
68,1.27427498570313,0.7,21.6424672123892,13.3156385421753,5.84647607803345
69,1.83298071083244,0.7,15.7302634202215,14.0760946273804,4.28775262832642
70,2.63665089873036,0.7,11.5502307272514,15.065411567688,3.19162964820862
71,3.79269019073225,0.7,8.57436433371456,16.7607975006104,2.41905522346497
72,5.45559478116852,0.7,6.43799060864525,18.9897422790527,1.90747213363647
73,7.84759970351461,0.7,4.88945120954745,21.8234539031982,1.57409238815308
74,11.2883789168469,0.7,3.75493620616936,25.389892578125,1.3424459695816
75,16.2377673918872,0.7,2.91418557703166,29.8327674865723,1.18223190307617
