Simulation ID,Re,n,CD,shear_rate_max,pressure_diff
1,0.1,1,245.705249889087,10.5647201538086,63.9141464233398
2,0.143844988828766,1,171.527620356589,10.6135034561157,44.6407318115234
3,0.206913808111479,1,120.095462907606,10.6987419128418,31.277681350708
4,0.297635144163132,1,84.4214884755808,10.8267250061035,22.0095825195312
5,0.428133239871939,1,59.6416495263633,11.0138025283813,15.5728149414063
6,0.615848211066026,1,42.3916142813177,11.2753076553345,11.0935287475586
7,0.885866790410083,1,30.3508807518526,11.6303358078003,7.9691915512085
8,1.27427498570313,1,21.917542976592,12.1020107269287,5.78408336639404
9,1.83298071083244,1,15.9845446361796,12.7170906066895,4.25113916397095
10,2.63665089873036,1,11.7866611247923,13.5053014755249,3.1721019744873
11,3.79269019073225,1,8.79522301162341,14.874267578125,2.41004991531372
12,5.45559478116852,1,6.64530201779812,16.5996990203857,1.89790844917297
13,7.84759970351461,1,5.08508955855419,18.7477073669434,1.56577837467194
14,11.2883789168469,1,3.93960686973775,21.3905353546143,1.33452486991882
15,16.2377673918872,1,3.0918788878949,24.6498279571533,1.17490649223328
16,23.3572146909012,1,2.45498154930657,28.6083011627197,1.06080913543701
17,33.5981828628378,1,1.97160888854331,33.3962440490723,0.982767820358276
18,48.3293023857175,1,1.60054868802114,35.6187133789062,0.928630828857422
19,69.5192796177561,1,1.31235855650761,42.0318641662598,0.887964963912964
20,100,1,1.08547745555216,49.2795181274414,0.853308796882629
21,0.1,0.9,245.658560194982,10.5879859924316,63.9414291381836
22,0.143844988828766,0.9,171.493255621277,10.6370315551758,44.6594924926758
23,0.206913808111479,0.9,120.069374229334,10.7227334976196,31.2905082702637
24,0.297635144163132,0.9,84.4010045977851,10.8514604568481,22.0182952880859
25,0.428133239871939,0.9,59.6250235643881,11.0396776199341,15.5786838531494
26,0.615848211066026,0.9,42.3776799477402,11.30286693573,11.0974321365356
27,0.885866790410083,0.9,30.3382502155688,11.6601314544678,7.97157955169678
28,1.27427498570313,0.9,21.9068528573744,12.1355352401733,5.78570079803467
29,1.83298071083244,0.9,15.9747967142251,12.7556915283203,4.25212097167969
30,2.63665089873036,0.9,11.7775498226102,13.5512380599976,3.17265605926514
31,3.79269019073225,0.9,8.78650641370015,14.9341440200806,2.41032218933105
32,5.45559478116852,0.9,6.63676367341113,16.6809005737305,1.89827573299408
33,7.84759970351461,0.9,5.07652829585539,18.8611488342285,1.56619048118591
34,11.2883789168469,0.9,3.93194960711571,21.561487197876,1.33569073677063
35,16.2377673918872,0.9,3.08270647021463,24.8846168518066,1.17562890052795
36,23.3572146909012,0.9,2.44521070904027,28.9502105712891,1.06159102916718
37,33.5981828628378,0.9,1.96102826792656,33.9458160400391,0.983733117580414
38,48.3293023857175,0.9,1.58895966168496,39.9025802612305,0.929800033569336
39,69.5192796177561,0.9,1.29954722020848,46.957088470459,0.889175236225128
40,100,0.9,1.0713190318147,50.2742958068848,0.854485988616943
41,0.1,0.8,245.610355345818,10.611475944519,63.9692153930664
42,0.143844988828766,0.8,171.457816271789,10.6607875823975,44.6782989501953
43,0.206913808111479,0.8,120.042519060857,10.7469615936279,31.303373336792
44,0.297635144163132,0.8,84.3799630410688,10.876446723938,22.0270347595215
45,0.428133239871939,0.8,59.6079748868841,11.0658226013184,15.5845699310303
46,0.615848211066026,0.8,42.3634171183601,11.3307256698608,11.1013469696045
47,0.885866790410083,0.8,30.3265440511945,11.6906785964966,7.97429656982422
48,1.27427498570313,0.8,21.8959386479969,12.1694688796997,5.78732490539551
49,1.83298071083244,0.8,15.9648501669016,12.7948122024536,4.25310802459717
50,2.63665089873036,0.8,11.7682526274546,13.5978660583496,3.17321586608887
51,3.79269019073225,0.8,8.7775962833661,14.9950466156006,2.41059923171997
52,5.45559478116852,0.8,6.62801651773879,16.7637462615967,1.89865005016327
53,7.84759970351461,0.8,5.06773530355945,18.9773654937744,1.56661510467529
54,11.2883789168469,0.8,3.92289942043174,21.7283344268799,1.33622074127197
55,16.2377673918872,0.8,3.07319027785728,25.1278038024902,1.17637765407562
56,23.3572146909012,0.8,2.43499932789149,29.3064384460449,1.06240367889404
57,33.5981828628378,0.8,1.94990015430558,34.4649200439453,0.98473858833313
58,48.3293023857175,0.8,1.57667799303645,40.6417922973633,0.931011259555817
59,69.5192796177561,0.8,1.28591846412164,47.9685211181641,0.890429258346558
60,100,0.8,1.05626170095866,51.3372383117676,0.855710029602051
61,0.1,0.7,245.560586958493,10.6351919174194,63.996208190918
62,0.143844988828766,0.7,171.421266657418,10.684775352478,44.6971588134766
63,0.206913808111479,0.7,120.014866844424,10.7714281082153,31.3162727355957
64,0.297635144163132,0.7,84.358338340641,10.9016828536987,22.0358009338379
65,0.428133239871939,0.7,59.5904933079349,11.0922393798828,15.5904750823975
66,0.615848211066026,0.7,42.3488207002192,11.3588838577271,11.1052761077881
67,0.885866790410083,0.7,30.3139720839298,11.7213706970215,7.97686386108398
68,1.27427498570313,0.7,21.8847952555014,12.2038230895996,5.78895664215088
69,1.83298071083244,0.7,15.9546973547719,12.8344583511353,4.25410127639771
70,2.63665089873036,0.7,11.7587568069299,13.6451969146729,3.1737790107727
71,3.79269019073225,0.7,8.76849007414215,15.0570087432861,2.41088104248047
72,5.45559478116852,0.7,6.61905545782295,16.8483085632324,1.89903259277344
73,7.84759970351461,0.7,5.05869530279183,19.0964698791504,1.56705057621002
74,11.2883789168469,0.7,3.91355129569429,21.9001998901367,1.3367657661438
75,16.2377673918872,0.7,3.06329720659469,25.3797302246094,1.1771547794342
76,23.3572146909012,0.7,2.42431430163208,29.6777210235596,1.06325280666351
77,33.5981828628378,0.7,1.9381659786613,35.008617401123,0.985774874687195
78,48.3293023857175,0.7,1.56364002009836,41.4171867370605,0.932271957397461
79,69.5192796177561,0.7,1.27138570795803,49.0257377624512,0.891723334789276
80,100,0.7,1.04053719258119,52.4602317810059,0.857078313827515
81,0.1,0.6,245.509244847091,10.6591386795044,64.0237121582031
82,0.143844988828766,0.6,171.383619510559,10.7089986801147,44.7160797119141
83,0.206913808111479,0.6,119.986417580037,10.7961378097534,31.3292121887207
84,0.297635144163132,0.6,84.3361177641063,10.927173614502,22.0445899963379
