x,Curve18
-0.00104,-4e-06
0.01645,-0.0002326
0.03394,-0.0007563
0.05142,-0.0016432
0.06891,-0.0025298
0.0864,-0.0033963
0.10389,-0.0043622
0.12138,-0.0053974
0.13887,-0.006319
0.15636,-0.0072519
0.17385,-0.0082004
0.19134,-0.0091534
0.20883,-0.0101056
0.22632,-0.0110512
0.2438,-0.0119755
0.26129,-0.0128583
0.27878,-0.0137085
0.29627,-0.0145456
0.31376,-0.0153763
0.33125,-0.016201
0.34874,-0.0170191
0.36623,-0.0178291
0.38372,-0.0186277
0.40121,-0.0194088
0.41869,-0.020164
0.43618,-0.0208847
0.45367,-0.0215652
0.47116,-0.0222105
0.48865,-0.0228286
0.50614,-0.0234214
0.52363,-0.0239895
0.54112,-0.0245309
0.55861,-0.0250433
0.5761,-0.02553
0.59358,-0.0259971
0.61107,-0.0264451
0.62856,-0.0268706
0.64605,-0.0272702
0.66354,-0.02764
0.68103,-0.0279755
0.69852,-0.0282712
0.71601,-0.0285223
0.7335,-0.0287246
0.75099,-0.0288751
0.76848,-0.0289717
0.78596,-0.0290202
0.80345,-0.0290282
0.82094,-0.0290009
0.83843,-0.028942
0.85592,-0.028853
0.87341,-0.0287312
0.8909,-0.0285693
0.90839,-0.0283658
0.92588,-0.0281285
0.94337,-0.0278651
0.96085,-0.0275738
0.97834,-0.0272513
0.99583,-0.0268932
1.01332,-0.0264962
1.03081,-0.0260665
1.0483,-0.0256126
1.06579,-0.0251433
1.08328,-0.024668
1.10077,-0.0241836
1.11826,-0.023674
1.13575,-0.023124
1.15323,-0.0225319
1.17072,-0.0219102
1.18821,-0.0212688
1.2057,-0.0206182
1.22319,-0.0199766
1.24068,-0.0193607
1.25817,-0.0187705
1.27566,-0.0181957
1.29315,-0.01763
1.31064,-0.0170702
1.32812,-0.0165195
1.34561,-0.0159831
1.3631,-0.015461
1.38059,-0.0149507
1.39808,-0.0144496
1.41557,-0.0139567
1.43306,-0.0134719
1.45055,-0.012996
1.46804,-0.0125307
1.48553,-0.0120789
1.50302,-0.0116462
1.5205,-0.0112406
1.53799,-0.0108682
1.55548,-0.0105313
1.57297,-0.0102249
1.59046,-0.0099375
1.60795,-0.0096604
1.62544,-0.0093933
1.64293,-0.0091367
1.66042,-0.0088917
1.67791,-0.0086597
1.69539,-0.0084425
1.71288,-0.0082406
1.73037,-0.0080524
1.74786,-0.0078753
1.76535,-0.0077067
1.78284,-0.0075439
1.80033,-0.0073851
1.81782,-0.0072288
1.83531,-0.0070744
1.8528,-0.0069215
1.87028,-0.00677
1.88777,-0.0066196
1.90526,-0.0064704
1.92275,-0.0063222
1.94024,-0.0061752
1.95773,-0.0060295
1.97522,-0.005885
1.99271,-0.005742
2.0102,-0.0056006
2.02769,-0.0054607
2.04518,-0.0053223
2.06266,-0.0051854
2.08015,-0.0050496
2.09764,-0.0049148
2.11513,-0.0047805
2.13262,-0.0046468
2.15011,-0.0045138
2.1676,-0.0043814
2.18509,-0.0042498
2.20258,-0.0041189
2.22007,-0.0039885
2.23755,-0.0038584
2.25504,-0.0037283
2.27253,-0.0035975
2.29002,-0.0034647
2.30751,-0.0033285
2.325,-0.0031874
2.34249,-0.0030403
2.35998,-0.0028882
2.37747,-0.0027331
2.39496,-0.0025772
2.41245,-0.0024221
2.42993,-0.002268
2.44742,-0.0021147
2.46491,-0.0019622
2.4824,-0.0018102
2.49989,-0.0016578
2.51738,-0.0015039
2.53487,-0.0013474
2.55236,-0.0011873
2.56985,-0.0010244
2.58734,-0.00086
2.60482,-0.0006955
2.62231,-0.000532
2.6398,-0.0003691
2.65729,-0.0002064
2.67478,-4.32e-05
2.69227,0.0001217
2.70976,0.0002907
2.72725,0.0004651
2.74474,0.0006438
2.76223,0.0008262
2.77972,0.0010133
2.7972,0.0012062
2.81469,0.001406
2.83218,0.0016139
2.84967,0.0018317
2.86716,0.0020593
2.88465,0.0022884
2.90214,0.0025067
2.91963,0.0026979
2.93712,0.0028366
2.95461,0.0028733
2.97209,0.0027282
2.98958,0.0022962
3.00707,0.001353
3.02456,0.0002076
