x,Curve27
-0.03722,0.13654
-0.00159,0.11501
0.03404,0.0997
0.06967,0.11504
0.1053,0.09647
0.14092,0.05279
0.17655,0.11884
0.21218,0.13501
0.24781,0.14441
0.28344,0.18411
0.31906,0.18882
0.35469,0.17113
0.39032,0.15368
0.42595,0.14005
0.46158,0.12473
0.4972,0.1112
0.53283,0.10028
0.56846,0.09131
0.60409,0.08384
0.63972,0.07782
0.67535,0.07355
0.71097,0.07234
0.7466,0.07254
0.78223,0.07168
0.81786,0.07538
0.85349,0.07858
0.88911,0.0831
0.92474,0.08836
0.96037,0.09458
0.996,0.10126
1.03163,0.10836
1.06726,0.11664
1.10288,0.11927
1.13851,0.12538
1.17414,0.13125
1.20977,0.135
1.2454,0.13799
1.28102,0.13921
1.31665,0.13999
1.35228,0.14686
1.38791,0.1438
1.42354,0.14644
1.45917,0.14756
1.49479,0.14781
1.53042,0.14767
1.56605,0.14732
1.60168,0.14684
1.63731,0.14626
1.67293,0.14562
1.70856,0.14493
1.74419,0.14436
1.77982,0.1442
1.81545,0.14485
1.85108,0.14706
1.8867,0.15241
1.92233,0.1626
1.95796,0.17669
1.99359,0.19017
2.02922,0.20186
2.06484,0.21181
2.10047,0.22026
2.1361,0.22747
2.17173,0.2336
2.20736,0.23879
2.24298,0.24319
2.27861,0.24692
2.31424,0.25006
2.34987,0.25269
2.3855,0.25487
2.42113,0.25665
2.45675,0.25804
2.49238,0.25908
2.52801,0.25978
2.56364,0.26021
2.59927,0.26042
2.63489,0.26047
2.67052,0.26041
2.70615,0.26028
2.74178,0.26008
2.77741,0.2598
2.81304,0.25941
2.84866,0.25889
2.88429,0.25822
2.91992,0.25739
2.95555,0.25636
2.99118,0.25515
3.0268,0.25374
3.06243,0.25215
3.09806,0.25043
3.13369,0.2486
3.16932,0.24669
3.20495,0.24475
3.24057,0.24276
3.2762,0.24068
3.31183,0.23847
3.34746,0.2361
3.38309,0.23354
3.41871,0.2308
3.45434,0.22792
3.48997,0.22492
3.5256,0.22181
3.56123,0.21862
3.59686,0.21534
3.63248,0.212
3.66811,0.2086
3.70374,0.20516
3.73937,0.20171
3.775,0.19826
3.81062,0.19484
3.84625,0.19147
3.88188,0.18815
3.91751,0.18483
3.95314,0.18143
3.98876,0.1779
4.02439,0.1742
4.06002,0.17039
4.09565,0.16657
4.13128,0.16283
4.16691,0.15929
4.20253,0.15594
4.23816,0.15246
4.27379,0.1486
4.30942,0.1443
4.34505,0.13966
4.38067,0.13485
4.4163,0.12998
4.45193,0.12515
4.48756,0.12053
4.52319,0.11693
4.55882,0.11486
4.59444,0.11087
4.63007,0.1062
4.6657,0.1012
4.70133,0.09593
4.73696,0.09036
4.77258,0.08439
4.80821,0.07789
4.84384,0.07076
4.87947,0.06282
4.9151,0.05563
4.95073,0.05108
4.98635,0.04452
5.02198,0.03509
5.05761,0.02776
5.09324,0.02278
5.12887,0.02503
5.16449,0.03986
5.20012,0.04933
5.23575,0.05694
5.27138,0.06199
5.30701,0.06544
5.34264,0.06861
5.37826,0.07174
5.41389,0.07482
5.44952,0.07779
5.48515,0.08065
5.52078,0.08334
5.5564,0.08582
5.59203,0.08801
5.62766,0.08985
5.66329,0.09135
5.69892,0.09259
5.73454,0.09371
5.77017,0.09512
5.8058,0.09736
5.84143,0.09968
5.87706,0.10121
5.91269,0.1022
5.94831,0.10298
5.98394,0.10365
6.01957,0.10431
6.0552,0.10499
6.09083,0.10565
6.12645,0.10622
6.16208,0.10663
6.19771,0.10687
6.23334,0.10693
6.26897,0.10682
6.3046,0.10652
6.34022,0.10599
6.37585,0.10517
6.41148,0.10401
6.44711,0.10253
6.48274,0.10082
6.51836,0.099
6.55399,0.09718
6.58962,0.09533
6.62525,0.09332
6.66088,0.09103
6.69651,0.0883
6.73213,0.08497
6.76776,0.08097
6.80339,0.07625
6.83902,0.07076
6.87465,0.06438
6.91027,0.05668
6.9459,0.04653
6.98153,0.0305
7.01716,0.01435
7.05279,0.04756
7.08842,0.0613
7.12404,0.06689
7.15967,0.06719
7.1953,0.06453
7.23093,0.05965
7.26656,0.05225
7.30218,0.04021
7.33781,0.02054
7.37344,0.02673
7.40907,0.05092
7.4447,0.06362
7.48032,0.07495
7.51595,0.08627
7.55158,0.09785
7.58721,0.10972
7.62284,0.12152
7.65847,0.13233
7.69409,0.14308
7.72972,0.15646
7.76535,0.16976
7.80098,0.1831
7.83661,0.19689
7.87223,0.21549
7.90786,0.23206
7.94349,0.2435
7.97912,0.24993
8.01475,0.25813
8.05038,0.26708
8.086,0.27628
8.12163,0.28553
8.15726,0.29587
8.19289,0.31181
8.22852,0.32186
8.26414,0.34061
8.29977,0.35704
8.3354,0.37717
8.37103,0.40981
8.40666,0.43311
8.44229,0.47453
8.47791,0.50781
8.51354,0.5456
8.54917,0.58783
8.5848,0.63507
8.62043,0.66946
8.65605,0.68929
8.69168,0.67418
8.72731,0.60659
8.76294,0.51816
8.79857,0.43363
8.8342,0.4019
8.86982,0.23595
8.90545,0.20289
8.94108,0.14458
8.97671,0.10971
9.01234,0.11692
