x,Curve07
0.00087,-3.68761e-07
0.01834,-0.09154
0.03582,-0.17102
0.05329,-0.20966
0.07076,-0.22957
0.08823,-0.23926
0.1057,-0.24236
0.12317,-0.24172
0.14064,-0.23913
0.15811,-0.23523
0.17559,-0.23019
0.19306,-0.22388
0.21053,-0.21655
0.228,-0.20941
0.24547,-0.20206
0.26294,-0.1939
0.28041,-0.18518
0.29788,-0.17629
0.31536,-0.16756
0.33283,-0.15892
0.3503,-0.14992
0.36777,-0.14028
0.38524,-0.12991
0.40271,-0.11918
0.42018,-0.10863
0.43765,-0.09834
0.45513,-0.08748
0.4726,-0.07497
0.49007,-0.06115
0.50754,-0.04756
0.52501,-0.03438
0.54248,-0.02123
0.55995,-0.0078
0.57742,0.00628
0.5949,0.02174
0.61237,0.03906
0.62984,0.05641
0.64731,0.07293
0.66478,0.08975
0.68225,0.10803
0.69972,0.12808
0.71719,0.14761
0.73467,0.16919
0.75214,0.1921
0.76961,0.21257
0.78708,0.23501
0.80455,0.25937
0.82202,0.28006
0.83949,0.30042
0.85696,0.32958
0.87444,0.3528
0.89191,0.37501
0.90938,0.40293
0.92685,0.42853
0.94432,0.45072
0.96179,0.47486
0.97926,0.50545
0.99673,0.53194
1.01421,0.55829
1.03168,0.58336
1.04915,0.60737
1.06662,0.63131
1.08409,0.65521
1.10156,0.68038
1.11903,0.7058
1.1365,0.72791
1.15398,0.74994
1.17145,0.77289
1.18892,0.79479
1.20639,0.81418
1.22386,0.83191
1.24133,0.84884
1.2588,0.86531
1.27627,0.88077
1.29375,0.89465
1.31122,0.90693
1.32869,0.91791
1.34616,0.92793
1.36363,0.93722
1.3811,0.94586
1.39857,0.95382
1.41604,0.96108
1.43352,0.96772
1.45099,0.97382
1.46846,0.97942
1.48593,0.98455
1.5034,0.9892
1.52087,0.99341
1.53834,0.99722
1.55581,1.00066
1.57329,1.0038
1.59076,1.00672
1.60823,1.00951
1.6257,1.01225
1.64317,1.01501
1.66064,1.0178
1.67811,1.02059
1.69558,1.02335
1.71306,1.02607
1.73053,1.02872
1.748,1.0313
1.76547,1.0338
1.78294,1.03621
1.80041,1.03853
1.81788,1.04078
1.83535,1.04301
1.85283,1.04525
1.8703,1.04755
1.88777,1.04994
1.90524,1.05241
1.92271,1.05491
1.94018,1.0574
1.95765,1.05984
1.97512,1.0622
1.99259,1.06451
2.01007,1.06679
2.02754,1.06907
2.04501,1.07137
2.06248,1.07368
2.07995,1.07597
2.09742,1.07822
2.11489,1.08038
2.13236,1.08244
2.14984,1.08442
2.16731,1.08632
2.18478,1.08816
2.20225,1.08995
2.21972,1.0917
2.23719,1.09341
2.25466,1.09508
2.27213,1.09671
2.28961,1.0983
2.30708,1.09984
2.32455,1.10133
2.34202,1.10274
2.35949,1.10407
2.37696,1.10529
2.39443,1.10641
2.4119,1.1074
2.42938,1.10827
2.44685,1.10901
2.46432,1.10961
2.48179,1.11006
2.49926,1.11034
2.51673,1.11041
2.5342,1.11026
2.55167,1.10988
2.56915,1.10928
2.58662,1.1085
2.60409,1.10755
2.62156,1.10638
2.63903,1.10487
2.6565,1.10282
2.67397,1.10053
2.69144,1.09807
2.70892,1.09535
2.72639,1.0923
2.74386,1.08884
2.76133,1.08497
2.7788,1.08064
2.79627,1.07577
2.81374,1.07007
2.83121,1.06301
2.84869,1.05418
2.86616,1.04356
2.88363,1.03144
2.9011,1.01772
2.91857,1.00015
2.93604,0.9645
2.95351,0.91907
2.97098,0.86097
2.98846,0.74085
3.00593,0.56596
3.0234,0.21848
