x,Curve12
0.00042,7.4e-06
0.0179,-1.6e-06
0.03538,-0.000232
0.05286,-0.000726
0.07034,-0.0012446
0.08782,-0.0017858
0.1053,-0.0024028
0.12278,-0.0030244
0.14026,-0.0036138
0.15774,-0.0041636
0.17522,-0.0046967
0.1927,-0.0052369
0.21018,-0.0058037
0.22766,-0.0063898
0.24514,-0.0069765
0.26262,-0.0075505
0.2801,-0.0081221
0.29758,-0.0087071
0.31506,-0.0093159
0.33254,-0.0099419
0.35002,-0.0105733
0.3675,-0.0111966
0.38498,-0.0118105
0.40246,-0.0124261
0.41994,-0.013057
0.43742,-0.0137091
0.4549,-0.0143792
0.47238,-0.0150657
0.48986,-0.0157666
0.50734,-0.0164773
0.52482,-0.0171952
0.5423,-0.0179338
0.55978,-0.0187158
0.57726,-0.0195389
0.59473,-0.0203665
0.61221,-0.0211765
0.62969,-0.0219679
0.64717,-0.0227436
0.66465,-0.0235135
0.68213,-0.0242882
0.69961,-0.0250666
0.71709,-0.0258439
0.73457,-0.0266205
0.75205,-0.027398
0.76953,-0.0281765
0.78701,-0.0289524
0.80449,-0.0297156
0.82197,-0.0304375
0.83945,-0.0310795
0.85693,-0.0316225
0.87441,-0.0320997
0.89189,-0.0325372
0.90937,-0.0329227
0.92685,-0.0332378
0.94433,-0.033456
0.96181,-0.033544
0.97929,-0.0335011
0.99677,-0.0333401
1.01425,-0.0330812
1.03173,-0.032738
1.04921,-0.0322997
1.06669,-0.031768
1.08417,-0.0311422
1.10165,-0.0303554
1.11913,-0.0293054
1.13661,-0.0282754
1.15409,-0.0272668
1.17157,-0.0262772
1.18905,-0.0251369
1.20653,-0.0239018
1.22401,-0.0226883
1.24149,-0.0215684
1.25897,-0.0203591
1.27645,-0.0191513
1.29393,-0.0181239
1.31141,-0.0170507
1.32889,-0.0161207
1.34637,-0.0152394
1.36385,-0.0144064
1.38133,-0.0136352
1.39881,-0.0128778
1.41629,-0.0121884
1.43377,-0.0116661
1.45125,-0.0112367
1.46873,-0.0108265
1.48621,-0.0104251
1.50369,-0.0100716
1.52117,-0.0097803
1.53865,-0.0095383
1.55613,-0.0093322
1.57361,-0.0091529
1.59109,-0.0089964
1.60857,-0.0088606
1.62605,-0.0087447
1.64353,-0.0086479
1.66101,-0.0085669
1.67849,-0.0084967
1.69597,-0.0084331
1.71345,-0.0083724
1.73093,-0.0083115
1.74841,-0.0082484
1.76589,-0.0081832
1.78337,-0.0081167
1.80084,-0.0080492
1.81832,-0.0079814
1.8358,-0.0079134
1.85328,-0.0078429
1.87076,-0.0077679
1.88824,-0.0076878
1.90572,-0.0076029
1.9232,-0.007514
1.94068,-0.007422
1.95816,-0.0073274
1.97564,-0.0072305
1.99312,-0.0071313
2.0106,-0.0070294
2.02808,-0.0069244
2.04556,-0.0068151
2.06304,-0.0066991
2.08052,-0.0065737
2.098,-0.0064363
2.11548,-0.0062878
2.13296,-0.0061363
2.15044,-0.0059857
2.16792,-0.0058337
2.1854,-0.0056779
2.20288,-0.0055156
2.22036,-0.0053456
2.23784,-0.0051686
2.25532,-0.0049856
2.2728,-0.0047981
2.29028,-0.0046065
2.30776,-0.0044111
2.32524,-0.0042122
2.34272,-0.0040105
2.3602,-0.0038067
2.37768,-0.0036013
2.39516,-0.003395
2.41264,-0.0031881
2.43012,-0.0029809
2.4476,-0.002774
2.46508,-0.0025679
2.48256,-0.0023629
2.50004,-0.0021596
2.51752,-0.0019572
2.535,-0.0017551
2.55248,-0.0015523
2.56996,-0.0013488
2.58744,-0.001146
2.60492,-0.0009449
2.6224,-0.000747
2.63988,-0.0005535
2.65736,-0.0003658
2.67484,-0.0001847
2.69232,-1.01e-05
2.7098,0.000159
2.72728,0.0003238
2.74476,0.0004846
2.76224,0.0006387
2.77972,0.0007823
2.7972,0.0009099
2.81468,0.0010208
2.83216,0.0011332
2.84964,0.0012609
2.86712,0.0014061
2.8846,0.0015627
2.90208,0.0017198
2.91956,0.0018688
2.93704,0.0020006
2.95452,0.0020996
2.972,0.0021234
2.98948,0.0019339
3.00695,0.0010472
3.02443,0.0001735
