x,Curve06
1,1.37e-05
1.01237,-0.0002838
1.02474,-0.0019695
1.03711,-0.0030169
1.04948,-0.0031239
1.06185,-0.0025319
1.07422,-0.001531
1.0866,-0.0008742
1.09897,-0.0005461
1.11134,-0.0005799
1.12371,-0.0008558
1.13608,-0.0013212
1.14845,-0.0019451
1.16082,-0.0026373
1.17319,-0.0032985
1.18556,-0.0039608
1.19793,-0.0046769
1.2103,-0.0053138
1.22267,-0.0058689
1.23504,-0.0063999
1.24741,-0.0069447
1.25978,-0.0074204
1.27215,-0.0078925
1.28452,-0.0083036
1.29689,-0.008684
1.30926,-0.0090526
1.32163,-0.0094167
1.334,-0.0097746
1.34637,-0.010097
1.35874,-0.0103863
1.37111,-0.0106544
1.38349,-0.0109041
1.39586,-0.0111362
1.40823,-0.0113524
1.4206,-0.0115526
1.43297,-0.0117347
1.44534,-0.0118967
1.45771,-0.0120413
1.47008,-0.0121751
1.48245,-0.0123007
1.49482,-0.012415
1.50719,-0.0125158
1.51956,-0.0126026
1.53193,-0.0126765
1.5443,-0.0127395
1.55667,-0.0127931
1.56904,-0.0128371
1.58141,-0.0128707
1.59378,-0.0128932
1.60615,-0.0129036
1.61852,-0.0129013
1.63089,-0.0128867
1.64326,-0.0128604
1.65563,-0.0128235
1.668,-0.0127772
1.68038,-0.0127226
1.69275,-0.012661
1.70512,-0.0125935
1.71749,-0.0125204
1.72986,-0.0124423
1.74223,-0.0123592
1.7546,-0.0122709
1.76697,-0.0121771
1.77934,-0.0120776
1.79171,-0.0119724
1.80408,-0.0118617
1.81645,-0.0117455
1.82882,-0.0116244
1.84119,-0.0114989
1.85356,-0.011369
1.86593,-0.0112344
1.8783,-0.0110948
1.89067,-0.01095
1.90304,-0.0108002
1.91541,-0.0106463
1.92778,-0.01049
1.94015,-0.0103329
1.95252,-0.0101759
1.96489,-0.0100193
1.97727,-0.0098629
1.98964,-0.0097066
2.00201,-0.00955
2.01438,-0.0093929
2.02675,-0.0092351
2.03912,-0.0090759
2.05149,-0.0089139
2.06386,-0.0087483
2.07623,-0.0085796
2.0886,-0.0084092
2.10097,-0.0082385
2.11334,-0.0080677
2.12571,-0.0078969
2.13808,-0.0077262
2.15045,-0.0075556
2.16282,-0.0073854
2.17519,-0.0072158
2.18756,-0.0070474
2.19993,-0.0068798
2.2123,-0.0067097
2.22467,-0.0065368
2.23704,-0.0063618
2.24941,-0.0061846
2.26178,-0.0060045
2.27416,-0.0058227
2.28653,-0.005641
2.2989,-0.0054607
2.31127,-0.0052817
2.32364,-0.0051034
2.33601,-0.0049257
2.34838,-0.0047482
2.36075,-0.0045706
2.37312,-0.0043927
2.38549,-0.004214
2.39786,-0.0040348
2.41023,-0.0038554
2.4226,-0.0036761
2.43497,-0.0034972
2.44734,-0.0033189
2.45971,-0.0031416
2.47208,-0.0029659
2.48445,-0.0027925
2.49682,-0.0026207
2.50919,-0.002449
2.52156,-0.0022764
2.53393,-0.0021027
2.5463,-0.0019286
2.55867,-0.0017544
2.57105,-0.0015807
2.58342,-0.0014077
2.59579,-0.0012358
2.60816,-0.0010654
2.62053,-0.0008974
2.6329,-0.0007326
2.64527,-0.0005714
2.65764,-0.0004143
2.67001,-0.0002609
2.68238,-0.0001104
2.69475,3.84e-05
2.70712,0.0001857
2.71949,0.0003306
2.73186,0.0004726
2.74423,0.000611
2.7566,0.0007455
2.76897,0.0008756
2.78134,0.0010009
2.79371,0.0011205
2.80608,0.0012336
2.81845,0.0013389
2.83082,0.0014355
2.84319,0.0015239
2.85556,0.0016047
2.86794,0.0016787
2.88031,0.0017466
2.89268,0.0018078
2.90505,0.0018592
2.91742,0.0018985
2.92979,0.0019252
2.94216,0.0019414
2.95453,0.001948
2.9669,0.0019432
2.97927,0.0019131
2.99164,0.0017498
3.00401,0.001366
3.01638,0.0005489
3.02875,7.61e-05
