x,Curve02
0.99884,3.5e-05
1.01121,0.000567
1.02359,0.004744
1.03597,0.016678
1.04835,0.031638
1.06072,0.043908
1.0731,0.054738
1.08548,0.06209
1.09786,0.067452
1.11023,0.071265
1.12261,0.073724
1.13499,0.075987
1.14737,0.077577
1.15974,0.078676
1.17212,0.079561
1.1845,0.080354
1.19688,0.081046
1.20925,0.081597
1.22163,0.082012
1.23401,0.082317
1.24639,0.082539
1.25876,0.08269
1.27114,0.082773
1.28352,0.082789
1.2959,0.082742
1.30827,0.082638
1.32065,0.082482
1.33303,0.082278
1.34541,0.08203
1.35778,0.081739
1.37016,0.081408
1.38254,0.081038
1.39492,0.080633
1.40729,0.080195
1.41967,0.079727
1.43205,0.079234
1.44443,0.078722
1.4568,0.078185
1.46918,0.077622
1.48156,0.077027
1.49394,0.07641
1.50631,0.075784
1.51869,0.075162
1.53107,0.074546
1.54345,0.073923
1.55582,0.073277
1.5682,0.072605
1.58058,0.071918
1.59296,0.071232
1.60533,0.070552
1.61771,0.069876
1.63009,0.069201
1.64247,0.068523
1.65484,0.067844
1.66722,0.067165
1.6796,0.066487
1.69198,0.065809
1.70435,0.065131
1.71673,0.064454
1.72911,0.063775
1.74148,0.063096
1.75386,0.062417
1.76624,0.061739
1.77862,0.061064
1.79099,0.06039
1.80337,0.059711
1.81575,0.059022
1.82813,0.058329
1.8405,0.057654
1.85288,0.057015
1.86526,0.056411
1.87764,0.055817
1.89001,0.055209
1.90239,0.054578
1.91477,0.053935
1.92715,0.053298
1.93952,0.05268
1.9519,0.052078
1.96428,0.051485
1.97666,0.050893
1.98903,0.050295
2.00141,0.049684
2.01379,0.049049
2.02617,0.048396
2.03854,0.04774
2.05092,0.047099
2.0633,0.046477
2.07568,0.045874
2.08805,0.04529
2.10043,0.044721
2.11281,0.044154
2.12519,0.043578
2.13756,0.042988
2.14994,0.042393
2.16232,0.041802
2.1747,0.041225
2.18707,0.040662
2.19945,0.040105
2.21183,0.039548
2.22421,0.038987
2.23658,0.038418
2.24896,0.037838
2.26134,0.037244
2.27372,0.036641
2.28609,0.036041
2.29847,0.035449
2.31085,0.034865
2.32323,0.034289
2.3356,0.033722
2.34798,0.03316
2.36036,0.032598
2.37274,0.032026
2.38511,0.031445
2.39749,0.030863
2.40987,0.030291
2.42225,0.029735
2.43462,0.029187
2.447,0.028637
2.45938,0.028076
2.47176,0.027498
2.48413,0.026913
2.49651,0.026329
2.50889,0.025752
2.52127,0.025183
2.53364,0.02462
2.54602,0.024062
2.5584,0.023498
2.57078,0.022919
2.58315,0.022312
2.59553,0.021686
2.60791,0.021061
2.62028,0.020459
2.63266,0.019881
2.64504,0.01931
2.65742,0.018731
2.66979,0.018131
2.68217,0.017511
2.69455,0.016879
2.70693,0.016242
2.7193,0.015604
2.73168,0.014971
2.74406,0.014346
2.75644,0.013721
2.76881,0.013082
2.78119,0.012413
2.79357,0.01172
2.80595,0.011021
2.81832,0.01033
2.8307,0.009643
2.84308,0.008951
2.85546,0.008232
2.86783,0.007477
2.88021,0.006767
2.89259,0.006009
2.90497,0.005191
2.91734,0.004429
2.92972,0.00366
2.9421,0.002967
2.95448,0.002094
2.96685,0.001292
2.97923,0.000795
2.99161,0.00026
3.00399,-7.3e-05
3.01636,-0.000229
3.02874,-0.000143
