y/h,u/u_b,v/u_b,u'u'/u_b^2,v'v'/u_b^2,u'v'/u_b^2
0.86786,-0.040793,0.028966,0.0066039,0.0039154,-0.004533
0.91308,-0.063945,0.050678,0.011008,0.0073562,-0.0063928
0.95832,-0.030605,0.055131,0.028936,0.016253,-0.010861
1.0035,0.14178,0.025942,0.074895,0.025038,-0.023849
1.0488,0.41892,-0.0055145,0.11558,0.028524,-0.032585
1.094,0.68488,-0.0153,0.10601,0.026226,-0.027037
1.1392,0.86025,-0.007576,0.072715,0.022405,-0.017254
1.1845,0.95022,0.0041523,0.049697,0.021245,-0.010426
1.2297,0.98966,0.01255,0.038732,0.022198,-0.0070371
1.2749,1.0054,0.017799,0.035988,0.024304,-0.0056912
1.3202,1.0141,0.01991,0.034612,0.025998,-0.0058407
1.3654,1.0198,0.021596,0.034222,0.027679,-0.0062653
1.4106,1.0226,0.022466,0.03376,0.02889,-0.0066784
1.4558,1.0242,0.024708,0.033965,0.030014,-0.0075291
1.5011,1.0273,0.025756,0.034757,0.030613,-0.0080837
1.5463,1.0315,0.026204,0.034923,0.030945,-0.0087563
1.5915,1.0342,0.025371,0.035403,0.030828,-0.0091192
1.6368,1.0359,0.025973,0.035965,0.030411,-0.0097479
1.682,1.0391,0.026271,0.036646,0.029995,-0.010317
1.7272,1.0419,0.02635,0.036712,0.029278,-0.010575
1.7724,1.044,0.026987,0.037215,0.028767,-0.010956
1.8177,1.0469,0.027095,0.0373,0.02794,-0.010773
1.8629,1.0501,0.026847,0.038384,0.026983,-0.010451
1.9081,1.0555,0.02607,0.038285,0.025842,-0.010161
1.9534,1.0589,0.025071,0.039412,0.024804,-0.0097012
1.9986,1.0632,0.024209,0.039371,0.023774,-0.0098592
2.0438,1.0664,0.02273,0.040259,0.022769,-0.0097993
2.089,1.0704,0.022286,0.039267,0.021856,-0.0099046
2.1342,1.075,0.021906,0.038321,0.020974,-0.0094395
2.1796,1.0794,0.021214,0.037449,0.019729,-0.008549
2.2248,1.0843,0.020608,0.036139,0.018882,-0.007955
2.27,1.0889,0.020072,0.034954,0.017919,-0.0076678
2.3152,1.0936,0.019051,0.033118,0.016716,-0.0066331
2.3604,1.0982,0.017455,0.030785,0.01574,-0.0061152
2.4056,1.1027,0.015669,0.028913,0.014492,-0.0052781
2.451,1.1054,0.014476,0.026701,0.013294,-0.0047082
2.4962,1.1069,0.013514,0.025794,0.012227,-0.0039788
2.5414,1.1075,0.011944,0.024003,0.011293,-0.0030013
2.5866,1.1071,0.011172,0.022418,0.010494,-0.00249
2.632,1.1048,0.010321,0.020955,0.0098025,-0.0017059
2.677,1.1012,0.0089444,0.018333,0.0089834,-0.00096628
2.7222,1.0947,0.0065653,0.016813,0.0080982,-0.00014518
2.7674,1.0841,0.0048656,0.016137,0.0073049,0.00043612
2.8128,1.0689,0.0032613,0.016332,0.0063663,0.00094965
2.858,1.047,0.0023885,0.015504,0.0051979,0.001451
2.9032,1.0041,0.0014034,0.020469,0.0036978,0.001538
2.9484,0.92996,0.0014069,0.027004,0.0022711,0.0016484
