y/h,u/u_b,v/u_b,u'u'/u_b^2,v'v'/u_b^2,u'v'/u_b^2
1.0064,0.047718,0.00060554,0.011251,0.0001038,-0.00064095
1.0516,0.40044,-0.0027614,0.086447,0.00056869,-0.0010003
1.0968,1.0703,0.024928,0.051688,0.0065366,-0.0031979
1.1421,1.0857,0.045426,0.03859,0.012241,-0.0023283
1.1873,1.0781,0.050947,0.02794,0.017774,-0.0036821
1.2325,1.0676,0.05518,0.027024,0.022611,-0.0053024
1.2778,1.0605,0.056045,0.026942,0.02591,-0.0066452
1.323,1.0491,0.05812,0.027392,0.027634,-0.0074681
1.3682,1.0436,0.060079,0.027315,0.029025,-0.0081722
1.4134,1.0369,0.058574,0.027567,0.029955,-0.0090159
1.4587,1.033,0.054063,0.027781,0.030068,-0.009999
1.5039,1.0328,0.053415,0.027955,0.029552,-0.010701
1.5491,1.0295,0.053892,0.027896,0.029129,-0.011062
1.5944,1.0269,0.049294,0.028237,0.028476,-0.011528
1.6396,1.0284,0.048276,0.028394,0.027492,-0.011607
1.6848,1.0301,0.047088,0.028839,0.026556,-0.011649
1.7301,1.0319,0.043761,0.028833,0.025424,-0.011525
1.7753,1.0314,0.043012,0.028658,0.024705,-0.011453
1.8205,1.0369,0.039949,0.028235,0.02359,-0.011358
1.8657,1.0379,0.037361,0.027425,0.022202,-0.010508
1.911,1.0415,0.034522,0.027013,0.021053,-0.0098983
1.9562,1.0457,0.033692,0.026727,0.019946,-0.0092729
2.0014,1.0459,0.033557,0.026346,0.019119,-0.0088436
2.0466,1.0463,0.032727,0.025883,0.018263,-0.0085005
2.0918,1.0494,0.030772,0.024823,0.017513,-0.0081657
2.1372,1.0512,0.029651,0.023903,0.016557,-0.007616
2.1824,1.0515,0.027694,0.022824,0.01546,-0.0070554
2.2276,1.0545,0.026352,0.022056,0.014524,-0.0062711
2.2728,1.057,0.025658,0.020944,0.013612,-0.0055567
2.318,1.0575,0.025754,0.020153,0.012654,-0.004923
2.3632,1.0583,0.024861,0.018827,0.011841,-0.0043704
2.4084,1.0593,0.022835,0.017775,0.011215,-0.0038395
2.4538,1.0579,0.020664,0.016802,0.010229,-0.003204
2.499,1.0581,0.020626,0.015933,0.0095764,-0.0027533
2.5442,1.0573,0.019221,0.01537,0.0089822,-0.002169
2.5894,1.0545,0.017375,0.014469,0.0083054,-0.0016839
2.6348,1.0497,0.015303,0.013971,0.0077079,-0.0011004
2.6798,1.0425,0.014454,0.013438,0.0070472,-0.00067264
2.725,1.0337,0.012484,0.013128,0.0063739,-0.00024453
2.7704,1.0244,0.010565,0.012811,0.0056648,0.00026039
2.8156,1.0089,0.0092772,0.012401,0.0049051,0.00071979
2.8608,0.99203,0.0082294,0.012074,0.0041115,0.0011472
