y/h,u/u_b,v/u_b,u'u'/u_b^2,v'v'/u_b^2,u'v'/u_b^2
1.0206,0.47122,-0.03327,0.044594,0.0028049,-0.0021921
1.0666,1.0856,-0.030957,0.030255,0.0030167,-0.0024914
1.1126,1.0972,-0.019994,0.02689,0.0043124,-0.0028436
1.1586,1.1021,-0.008704,0.019822,0.007738,-0.0036539
1.2046,1.0924,0.00028872,0.018639,0.010864,-0.0044797
1.2506,1.0821,0.0081392,0.017981,0.01353,-0.0053004
1.2966,1.0715,0.013804,0.017515,0.015461,-0.0058533
1.3426,1.0606,0.017912,0.017445,0.017623,-0.0066367
1.3886,1.0512,0.023066,0.01763,0.019229,-0.0073918
1.4346,1.0429,0.026576,0.018078,0.020257,-0.0078821
1.4806,1.0358,0.030032,0.01833,0.020932,-0.0082596
1.5266,1.0287,0.03202,0.018892,0.021222,-0.0085495
1.5726,1.0228,0.033735,0.019127,0.02098,-0.0087725
1.6186,1.0181,0.034432,0.019414,0.020774,-0.0087762
1.6646,1.015,0.035712,0.01954,0.020452,-0.0088763
1.7106,1.0125,0.034583,0.019635,0.019977,-0.0087486
1.7566,1.0113,0.034495,0.019589,0.019372,-0.0086109
1.8026,1.01,0.034189,0.019511,0.018663,-0.0084963
1.8486,1.0091,0.033125,0.019599,0.018028,-0.0083421
1.8946,1.008,0.032613,0.019549,0.01731,-0.0080516
1.9406,1.0083,0.031604,0.0192,0.016361,-0.0076738
1.9866,1.0092,0.031436,0.018701,0.015453,-0.0072416
2.0326,1.0092,0.030916,0.018342,0.014638,-0.0068637
2.0786,1.0093,0.029487,0.017822,0.013767,-0.0064529
2.1246,1.0112,0.0288,0.017302,0.013162,-0.0060811
2.1706,1.0123,0.027892,0.016911,0.012481,-0.0057124
2.2166,1.0135,0.027013,0.016634,0.011839,-0.0054837
2.2626,1.0149,0.026293,0.015914,0.011223,-0.0050375
2.3086,1.0165,0.025352,0.015263,0.010674,-0.004673
2.3546,1.0177,0.024573,0.01433,0.0099352,-0.0042116
2.4006,1.0184,0.023271,0.013775,0.0092478,-0.0036928
2.4466,1.0195,0.022298,0.013151,0.0086091,-0.0031503
2.4928,1.0201,0.0218,0.012517,0.0079645,-0.0027288
2.5386,1.0198,0.020428,0.011933,0.0074208,-0.00236
2.5846,1.0192,0.019583,0.01137,0.0068808,-0.001867
2.6306,1.0169,0.018447,0.010865,0.0062899,-0.0013855
2.6766,1.014,0.017334,0.010314,0.0056904,-0.00098336
2.7228,1.0091,0.015369,0.0098172,0.0049642,-0.0005168
2.7686,1.0015,0.014593,0.0095046,0.0043133,-0.00013307
2.8146,0.99065,0.013187,0.0092533,0.0037048,0.00022625
2.8606,0.97582,0.011276,0.0090835,0.0030387,0.00050826
