y/h,u/u_b,v/u_b,u'u'/u_b^2,v'v'/u_b^2,u'v'/u_b^2
0.031624,0.082492,0.0066265,0.032819,0.0011664,-0.00078394
0.077624,0.12602,-0.0096372,0.038762,0.0059515,-0.0044195
0.12362,0.14314,-0.015117,0.037676,0.0085774,-0.006235
0.16962,0.15849,-0.02026,0.038051,0.010966,-0.0079838
0.21562,0.17235,-0.025757,0.03892,0.012504,-0.0095873
0.26162,0.19178,-0.03217,0.040605,0.014729,-0.01176
0.30762,0.21232,-0.039255,0.04311,0.016977,-0.01427
0.35362,0.23376,-0.046002,0.045558,0.018467,-0.016288
0.39962,0.25737,-0.053036,0.048723,0.020136,-0.018396
0.44562,0.28192,-0.05941,0.05205,0.021376,-0.020414
0.49162,0.30966,-0.066646,0.055278,0.022203,-0.022014
0.53762,0.33815,-0.073409,0.058275,0.02271,-0.023075
0.58362,0.36728,-0.078648,0.061022,0.023409,-0.024299
0.62962,0.39713,-0.083007,0.063494,0.023947,-0.025332
0.67562,0.4284,-0.087577,0.064821,0.024046,-0.025759
0.72162,0.45909,-0.08993,0.06536,0.024334,-0.025742
0.76762,0.48968,-0.092657,0.065782,0.023985,-0.025341
0.81362,0.51936,-0.093871,0.065843,0.023826,-0.025149
0.85962,0.54875,-0.095508,0.064206,0.023313,-0.024242
0.90562,0.57681,-0.095501,0.062814,0.022803,-0.023455
0.95162,0.60361,-0.094949,0.061122,0.022348,-0.022553
0.99762,0.62839,-0.094571,0.058761,0.02167,-0.021565
1.0379,0.64515,-0.094859,0.056957,0.020792,-0.020446
1.0839,0.66776,-0.093014,0.054255,0.0201,-0.0191
1.1299,0.68913,-0.090995,0.051458,0.019332,-0.017683
1.1759,0.70923,-0.088381,0.048707,0.018884,-0.016592
1.2219,0.72842,-0.084954,0.045721,0.018029,-0.015415
1.2679,0.7462,-0.08165,0.042731,0.017383,-0.014102
1.3139,0.76215,-0.079123,0.039953,0.01686,-0.013032
1.3599,0.77718,-0.075914,0.037361,0.016177,-0.01198
1.4059,0.79068,-0.073131,0.034818,0.015515,-0.011081
1.4519,0.80176,-0.070099,0.032748,0.015141,-0.010429
1.4979,0.81232,-0.067307,0.030742,0.014536,-0.0095059
1.5439,0.82178,-0.064517,0.028962,0.014032,-0.0087845
1.5899,0.83052,-0.062014,0.027546,0.013778,-0.0084057
1.6359,0.83792,-0.059073,0.026157,0.013459,-0.0080311
1.6819,0.84534,-0.056186,0.024991,0.013247,-0.0074878
1.7279,0.85238,-0.053747,0.023689,0.012774,-0.0068408
1.7739,0.85835,-0.051443,0.022412,0.012394,-0.0066007
1.8199,0.86412,-0.048954,0.021394,0.012099,-0.0063027
1.8659,0.86943,-0.046662,0.020577,0.011746,-0.0059114
1.9119,0.87458,-0.045031,0.019786,0.011333,-0.0055898
1.9579,0.87948,-0.042807,0.019242,0.010836,-0.0051973
2.0038,0.88359,-0.04058,0.018579,0.01051,-0.0048135
2.0498,0.88815,-0.038026,0.018015,0.010254,-0.0044971
2.0958,0.89226,-0.035563,0.017454,0.0099238,-0.0042253
2.1418,0.89637,-0.033706,0.017065,0.0096616,-0.0040105
2.1878,0.90002,-0.031915,0.016441,0.0091875,-0.0036869
2.2338,0.90344,-0.030089,0.016051,0.0088299,-0.0034214
2.2798,0.90603,-0.028078,0.015612,0.0084307,-0.0030925
2.3258,0.90884,-0.026135,0.015062,0.0079632,-0.0028446
2.3718,0.91122,-0.024362,0.014611,0.0076637,-0.0026959
2.4178,0.91348,-0.021899,0.014047,0.0072598,-0.0024558
2.4638,0.91508,-0.019722,0.013489,0.0069479,-0.0020671
2.5098,0.91682,-0.018232,0.012876,0.0066129,-0.0018238
2.5558,0.91725,-0.01662,0.012268,0.0062466,-0.0015674
2.602,0.91571,-0.014002,0.011841,0.0057743,-0.0012904
2.648,0.91295,-0.012857,0.011568,0.0052549,-0.0010224
2.6938,0.91002,-0.01208,0.011389,0.0047427,-0.00056825
2.7398,0.90389,-0.010025,0.011186,0.0042611,-0.00024531
2.7858,0.89451,-0.0079616,0.011007,0.0037494,1.60E-05
2.832,0.88004,-0.0049896,0.010869,0.0032251,0.0002772
